Date,Predicted,Coin,Model
2023-06-22 00:00:00,1986.7049127867465,BTC,Prophet
2023-06-22 01:00:00,1985.550408080963,BTC,Prophet
2023-06-22 02:00:00,1984.8884969868022,BTC,Prophet
2023-06-22 03:00:00,1984.9218158585863,BTC,Prophet
2023-06-22 04:00:00,1985.230140047629,BTC,Prophet
2023-06-22 05:00:00,1985.2302759755712,BTC,Prophet
2023-06-22 06:00:00,1984.750060456839,BTC,Prophet
2023-06-22 07:00:00,1984.145470478102,BTC,Prophet
2023-06-22 08:00:00,1983.8607475987726,BTC,Prophet
2023-06-22 09:00:00,1983.89384178008,BTC,Prophet
2023-06-22 10:00:00,1983.721235563568,BTC,Prophet
2023-06-22 11:00:00,1982.7695601196797,BTC,Prophet
2023-06-22 12:00:00,1980.9677630894298,BTC,Prophet
2023-06-22 13:00:00,1978.8291454444357,BTC,Prophet
2023-06-22 14:00:00,1976.981009545738,BTC,Prophet
2023-06-22 15:00:00,1975.6096379377684,BTC,Prophet
2023-06-22 16:00:00,1974.3675710796294,BTC,Prophet
2023-06-22 17:00:00,1972.820012594551,BTC,Prophet
2023-06-22 18:00:00,1970.9615990385305,BTC,Prophet
2023-06-22 19:00:00,1969.2642878681172,BTC,Prophet
2023-06-22 20:00:00,1968.195123678775,BTC,Prophet
2023-06-22 21:00:00,1967.6895000743725,BTC,Prophet
2023-06-22 22:00:00,1967.1281904779942,BTC,Prophet
2023-06-22 23:00:00,1965.874141478482,BTC,Prophet
2023-06-23 00:00:00,1963.8641989249024,BTC,Prophet
2023-06-23 01:00:00,1961.68195326614,BTC,Prophet
2023-06-23 02:00:00,1960.0353190956414,BTC,Prophet
2023-06-23 03:00:00,1959.1379691750715,BTC,Prophet
2023-06-23 04:00:00,1958.5800625702166,BTC,Prophet
2023-06-23 05:00:00,1957.7880149882428,BTC,Prophet
2023-06-23 06:00:00,1956.598385835811,BTC,Prophet
2023-06-23 07:00:00,1955.3748865743398,BTC,Prophet
2023-06-23 08:00:00,1954.568415767254,BTC,Prophet
2023-06-23 09:00:00,1954.182426710018,BTC,Prophet
2023-06-23 10:00:00,1953.697689481954,BTC,Prophet
2023-06-23 11:00:00,1952.5438596863594,BTC,Prophet
2023-06-23 12:00:00,1950.6516143626359,BTC,Prophet
2023-06-23 13:00:00,1948.5346726662547,BTC,Prophet
2023-06-23 14:00:00,1946.8194436734104,BTC,Prophet
2023-06-23 15:00:00,1945.6900208250777,BTC,Prophet
2023-06-23 16:00:00,1944.7954909943837,BTC,Prophet
2023-06-23 17:00:00,1943.696386347715,BTC,Prophet
2023-06-23 18:00:00,1942.3815153991698,BTC,Prophet
2023-06-23 19:00:00,1941.3159261581145,BTC,Prophet
2023-06-23 20:00:00,1940.958760488645,BTC,Prophet
2023-06-23 21:00:00,1941.236615931739,BTC,Prophet
2023-06-23 22:00:00,1941.5206870418265,BTC,Prophet
2023-06-23 23:00:00,1941.163678449821,BTC,Prophet
2023-06-24 00:00:00,1940.0916583656071,BTC,Prophet
2023-06-24 01:00:00,1938.8770374272315,BTC,Prophet
2023-06-24 02:00:00,1938.2162861947734,BTC,Prophet
2023-06-24 03:00:00,1938.3115098451312,BTC,Prophet
2023-06-24 04:00:00,1938.7413179558187,BTC,Prophet
2023-06-24 05:00:00,1938.9207357107398,BTC,Prophet
2023-06-24 06:00:00,1938.6752293046382,BTC,Prophet
2023-06-24 07:00:00,1938.357848415137,BTC,Prophet
2023-06-24 08:00:00,1938.4093894841178,BTC,Prophet
2023-06-24 09:00:00,1938.8238841247075,BTC,Prophet
2023-06-24 10:00:00,1939.0734730119914,BTC,Prophet
2023-06-24 11:00:00,1938.5800761606688,BTC,Prophet
2023-06-24 12:00:00,1937.267618838736,BTC,Prophet
2023-06-24 13:00:00,1935.6441296258165,BTC,Prophet
2023-06-24 14:00:00,1934.3314520476883,BTC,Prophet
2023-06-24 15:00:00,1933.5102885451395,BTC,Prophet
2023-06-24 16:00:00,1932.8275441862731,BTC,Prophet
2023-06-24 17:00:00,1931.8427979074659,BTC,Prophet
2023-06-24 18:00:00,1930.5451374863335,BTC,Prophet
2023-06-24 19:00:00,1929.4011111465343,BTC,Prophet
2023-06-24 20:00:00,1928.8725551078549,BTC,Prophet
2023-06-24 21:00:00,1928.8899137169633,BTC,Prophet
2023-06-24 22:00:00,1928.8293247824786,BTC,Prophet
2023-06-24 23:00:00,1928.049463076689,BTC,Prophet
2023-06-25 00:00:00,1926.4833116370041,BTC,Prophet
2023-06-25 01:00:00,1924.711046851061,BTC,Prophet
2023-06-25 02:00:00,1923.4376518435204,BTC,Prophet
2023-06-25 03:00:00,1922.874378070003,BTC,Prophet
2023-06-25 04:00:00,1922.6094944652812,BTC,Prophet
2023-06-25 05:00:00,1922.0680720295177,BTC,Prophet
2023-06-25 06:00:00,1921.085878253696,BTC,Prophet
2023-06-25 07:00:00,1920.0263859292081,BTC,Prophet
2023-06-25 08:00:00,1919.3408017892773,BTC,Prophet
2023-06-25 09:00:00,1919.033421013521,BTC,Prophet
2023-06-25 10:00:00,1918.5863696589502,BTC,Prophet
2023-06-25 11:00:00,1917.4311475859959,BTC,Prophet
2023-06-25 12:00:00,1915.500732744415,BTC,Prophet
2023-06-25 13:00:00,1913.31156486573,BTC,Prophet
2023-06-25 14:00:00,1911.4931514344823,BTC,Prophet
2023-06-25 15:00:00,1910.2330160278434,BTC,Prophet
2023-06-25 16:00:00,1909.1839576328807,BTC,Prophet
2023-06-25 17:00:00,1907.9104497794297,BTC,Prophet
2023-06-25 18:00:00,1906.4054165901548,BTC,Prophet
2023-06-25 19:00:00,1905.138139374847,BTC,Prophet
2023-06-25 20:00:00,1904.5720536302476,BTC,Prophet
2023-06-25 21:00:00,1904.638053444203,BTC,Prophet
2023-06-25 22:00:00,1904.7115761024452,BTC,Prophet
2023-06-25 23:00:00,1904.1494598409427,BTC,Prophet
2023-06-26 00:00:00,1902.881744168512,BTC,Prophet
2023-06-26 01:00:00,1901.4845983436555,BTC,Prophet
2023-06-26 02:00:00,1900.6579919445967,BTC,Prophet
2023-06-26 03:00:00,1900.6072266778694,BTC,Prophet
2023-06-26 04:00:00,1900.9137678505017,BTC,Prophet
2023-06-26 05:00:00,1900.995122310907,BTC,Prophet
2023-06-26 06:00:00,1900.6788360417206,BTC,Prophet
2023-06-26 07:00:00,1900.319614604753,BTC,Prophet
2023-06-26 08:00:00,1900.3594704360971,BTC,Prophet
2023-06-26 09:00:00,1900.7932014814076,BTC,Prophet
2023-06-26 10:00:00,1901.0932616235912,BTC,Prophet
2023-06-26 11:00:00,1900.6814338140305,BTC,Prophet
2023-06-26 12:00:00,1899.4810650835313,BTC,Prophet
2023-06-26 13:00:00,1897.9991797860757,BTC,Prophet
2023-06-26 14:00:00,1896.8562122696515,BTC,Prophet
2023-06-26 15:00:00,1896.2310774216448,BTC,Prophet
2023-06-26 16:00:00,1895.7685461124352,BTC,Prophet
2023-06-26 17:00:00,1895.0257528691202,BTC,Prophet
2023-06-26 18:00:00,1893.989071470903,BTC,Prophet
2023-06-26 19:00:00,1893.1221107966594,BTC,Prophet
2023-06-26 20:00:00,1892.8835896231728,BTC,Prophet
2023-06-26 21:00:00,1893.2007063551907,BTC,Prophet
2023-06-26 22:00:00,1893.446275625816,BTC,Prophet
2023-06-26 23:00:00,1892.9756240240742,BTC,Prophet
2023-06-27 00:00:00,1891.7184138630334,BTC,Prophet
2023-06-27 01:00:00,1890.2515802515863,BTC,Prophet
2023-06-27 02:00:00,1889.2769952730155,BTC,Prophet
2023-06-27 03:00:00,1889.0029784760445,BTC,Prophet
2023-06-27 04:00:00,1889.015092352066,BTC,Prophet
2023-06-27 05:00:00,1888.735970041401,BTC,Prophet
2023-06-27 06:00:00,1887.999249072171,BTC,Prophet
2023-06-27 07:00:00,1887.1666151279774,BTC,Prophet
2023-06-27 08:00:00,1886.687860801716,BTC,Prophet
2023-06-27 09:00:00,1886.5662649397173,BTC,Prophet
2023-06-27 10:00:00,1886.2833542810931,BTC,Prophet
2023-06-27 11:00:00,1885.2704596772764,BTC,Prophet
2023-06-27 12:00:00,1883.4608275522737,BTC,Prophet
2023-06-27 13:00:00,1881.3716045223257,BTC,Prophet
2023-06-27 14:00:00,1879.633438007094,BTC,Prophet
2023-06-27 15:00:00,1878.435412962948,BTC,Prophet
2023-06-27 16:00:00,1877.4322934680533,BTC,Prophet
2023-06-27 17:00:00,1876.190898205972,BTC,Prophet
2023-06-27 18:00:00,1874.7068472312458,BTC,Prophet
2023-06-27 19:00:00,1873.4524340035325,BTC,Prophet
2023-06-27 20:00:00,1872.8943829830173,BTC,Prophet
2023-06-27 21:00:00,1872.967110281591,BTC,Prophet
2023-06-27 22:00:00,1873.0497607237342,BTC,Prophet
2023-06-27 23:00:00,1872.5030148683231,BTC,Prophet
2023-06-28 00:00:00,1871.2608360682034,BTC,Prophet
2023-06-28 01:00:00,1869.9033438418282,BTC,Prophet
2023-06-28 02:00:00,1869.1344282114994,BTC,Prophet
2023-06-28 03:00:00,1869.163224890122,BTC,Prophet
2023-06-28 04:00:00,1869.5748904857417,BTC,Prophet
2023-06-28 05:00:00,1869.7904252727576,BTC,Prophet
2023-06-28 06:00:00,1869.6406174479548,BTC,Prophet
2023-06-28 07:00:00,1869.483112785988,BTC,Prophet
2023-06-28 08:00:00,1869.7625143788102,BTC,Prophet
2023-06-28 09:00:00,1870.4758175977117,BTC,Prophet
2023-06-28 10:00:00,1871.0972413330965,BTC,Prophet
2023-06-28 11:00:00,1871.0498669720391,BTC,Prophet
2023-06-28 12:00:00,1870.2578447783803,BTC,Prophet
2023-06-28 13:00:00,1869.2284844477715,BTC,Prophet
2023-06-28 14:00:00,1868.581971381008,BTC,Prophet
2023-06-28 15:00:00,1868.4964273919663,BTC,Prophet
2023-06-28 16:00:00,1868.6152830610924,BTC,Prophet
2023-06-28 17:00:00,1868.4937891726884,BTC,Prophet
2023-06-28 18:00:00,1868.1159029434418,BTC,Prophet
2023-06-28 19:00:00,1867.9423013047258,BTC,Prophet
2023-06-28 20:00:00,1868.428279783913,BTC,Prophet
2023-06-28 21:00:00,1869.4971527254959,BTC,Prophet
2023-06-28 22:00:00,1870.5174264713814,BTC,Prophet
2023-06-28 23:00:00,1870.8397373570701,BTC,Prophet
2023-06-29 00:00:00,1870.3887229674688,BTC,Prophet
2023-06-29 01:00:00,1869.736011373194,BTC,Prophet
2023-06-29 02:00:00,1869.577941551283,BTC,Prophet
2023-06-29 03:00:00,1870.1171335411373,BTC,Prophet
2023-06-29 04:00:00,1870.933346306502,BTC,Prophet
2023-06-29 05:00:00,1871.4433698099717,BTC,Prophet
2023-06-29 06:00:00,1871.4750243359015,BTC,Prophet
2023-06-29 07:00:00,1871.384270270154,BTC,Prophet
2023-06-29 08:00:00,1871.6153325014116,BTC,Prophet
2023-06-29 09:00:00,1872.1661442509715,BTC,Prophet
2023-06-29 10:00:00,1872.5131712515233,BTC,Prophet
2023-06-29 11:00:00,1872.0830277963505,BTC,Prophet
2023-06-29 12:00:00,1870.8046445819562,BTC,Prophet
