Date,Predicted,Coin,Model
2023-06-22 00:00:00,31812.982913272757,ETH,Prophet
2023-06-22 01:00:00,31800.526054473426,ETH,Prophet
2023-06-22 02:00:00,31793.625104620565,ETH,Prophet
2023-06-22 03:00:00,31793.25502011223,ETH,Prophet
2023-06-22 04:00:00,31793.84006336691,ETH,Prophet
2023-06-22 05:00:00,31789.555819829282,ETH,Prophet
2023-06-22 06:00:00,31780.532263633846,ETH,Prophet
2023-06-22 07:00:00,31772.53782252586,ETH,Prophet
2023-06-22 08:00:00,31770.427911850893,ETH,Prophet
2023-06-22 09:00:00,31772.111771267242,ETH,Prophet
2023-06-22 10:00:00,31769.45030902943,ETH,Prophet
2023-06-22 11:00:00,31755.59620868373,ETH,Prophet
2023-06-22 12:00:00,31731.704435326188,ETH,Prophet
2023-06-22 13:00:00,31706.31890227909,ETH,Prophet
2023-06-22 14:00:00,31687.81471535638,ETH,Prophet
2023-06-22 15:00:00,31677.08111699186,ETH,Prophet
2023-06-22 16:00:00,31667.414289140164,ETH,Prophet
2023-06-22 17:00:00,31651.53905942532,ETH,Prophet
2023-06-22 18:00:00,31628.75573839061,ETH,Prophet
2023-06-22 19:00:00,31605.237123995248,ETH,Prophet
2023-06-22 20:00:00,31587.395507145673,ETH,Prophet
2023-06-22 21:00:00,31575.114430716832,ETH,Prophet
2023-06-22 22:00:00,31561.67983184481,ETH,Prophet
2023-06-22 23:00:00,31540.478145913905,ETH,Prophet
2023-06-23 00:00:00,31511.75498793262,ETH,Prophet
2023-06-23 01:00:00,31482.70140534413,ETH,Prophet
2023-06-23 02:00:00,31460.827510856565,ETH,Prophet
2023-06-23 03:00:00,31447.25461804118,ETH,Prophet
2023-06-23 04:00:00,31436.53173450598,ETH,Prophet
2023-06-23 05:00:00,31422.93610139681,ETH,Prophet
2023-06-23 06:00:00,31406.675068497483,ETH,Prophet
2023-06-23 07:00:00,31393.569270218315,ETH,Prophet
2023-06-23 08:00:00,31388.500583198056,ETH,Prophet
2023-06-23 09:00:00,31389.378706149633,ETH,Prophet
2023-06-23 10:00:00,31388.039069790462,ETH,Prophet
2023-06-23 11:00:00,31377.583330684793,ETH,Prophet
2023-06-23 12:00:00,31359.090581069613,ETH,Prophet
2023-06-23 13:00:00,31341.005026525894,ETH,Prophet
2023-06-23 14:00:00,31331.579535802426,ETH,Prophet
2023-06-23 15:00:00,31331.56016856616,ETH,Prophet
2023-06-23 16:00:00,31334.08081994036,ETH,Prophet
2023-06-23 17:00:00,31331.68700314802,ETH,Prophet
2023-06-23 18:00:00,31323.484971932325,ETH,Prophet
2023-06-23 19:00:00,31315.441190166413,ETH,Prophet
2023-06-23 20:00:00,31313.751951470844,ETH,Prophet
2023-06-23 21:00:00,31318.07786847847,ETH,Prophet
2023-06-23 22:00:00,31321.477827226576,ETH,Prophet
2023-06-23 23:00:00,31317.109949902337,ETH,Prophet
2023-06-24 00:00:00,31304.993145749315,ETH,Prophet
2023-06-24 01:00:00,31292.096208274314,ETH,Prophet
2023-06-24 02:00:00,31285.714231735237,ETH,Prophet
2023-06-24 03:00:00,31286.763434837358,ETH,Prophet
2023-06-24 04:00:00,31289.600212859485,ETH,Prophet
2023-06-24 05:00:00,31288.324075000673,ETH,Prophet
2023-06-24 06:00:00,31282.98172632235,ETH,Prophet
2023-06-24 07:00:00,31279.252232088573,ETH,Prophet
2023-06-24 08:00:00,31281.89672048513,ETH,Prophet
2023-06-24 09:00:00,31288.72644270327,ETH,Prophet
2023-06-24 10:00:00,31291.50187990826,ETH,Prophet
2023-06-24 11:00:00,31283.274136183434,ETH,Prophet
2023-06-24 12:00:00,31265.09673851768,ETH,Prophet
2023-06-24 13:00:00,31245.413588596035,ETH,Prophet
2023-06-24 14:00:00,31232.50246759708,ETH,Prophet
2023-06-24 15:00:00,31227.159200638755,ETH,Prophet
2023-06-24 16:00:00,31222.59162462713,ETH,Prophet
2023-06-24 17:00:00,31211.44238968285,ETH,Prophet
2023-06-24 18:00:00,31192.936808438495,ETH,Prophet
2023-06-24 19:00:00,31173.18077696698,ETH,Prophet
2023-06-24 20:00:00,31158.528589928304,ETH,Prophet
2023-06-24 21:00:00,31148.815392549557,ETH,Prophet
2023-06-24 22:00:00,31137.288890849384,ETH,Prophet
2023-06-24 23:00:00,31117.3078917868,ETH,Prophet
2023-06-25 00:00:00,31089.101283888573,ETH,Prophet
2023-06-25 01:00:00,31059.85444905612,ETH,Prophet
2023-06-25 02:00:00,31037.0829125102,ETH,Prophet
2023-06-25 03:00:00,31021.92435379593,ETH,Prophet
2023-06-25 04:00:00,31008.954835656714,ETH,Prophet
2023-06-25 05:00:00,30992.488943186017,ETH,Prophet
2023-06-25 06:00:00,30972.781128000297,ETH,Prophet
2023-06-25 07:00:00,30955.70822978716,ETH,Prophet
2023-06-25 08:00:00,30946.216664508807,ETH,Prophet
2023-06-25 09:00:00,30942.288129977904,ETH,Prophet
2023-06-25 10:00:00,30935.836547981304,ETH,Prophet
2023-06-25 11:00:00,30920.04750927574,ETH,Prophet
2023-06-25 12:00:00,30896.088367043794,ETH,Prophet
2023-06-25 13:00:00,30872.494745017368,ETH,Prophet
2023-06-25 14:00:00,30857.61287957015,ETH,Prophet
2023-06-25 15:00:00,30852.282916969074,ETH,Prophet
2023-06-25 16:00:00,30849.73232041273,ETH,Prophet
2023-06-25 17:00:00,30842.598423899624,ETH,Prophet
2023-06-25 18:00:00,30830.076350265663,ETH,Prophet
2023-06-25 19:00:00,30818.21731611014,ETH,Prophet
2023-06-25 20:00:00,30813.297141205432,ETH,Prophet
2023-06-25 21:00:00,30815.049696094917,ETH,Prophet
2023-06-25 22:00:00,30816.599896558197,ETH,Prophet
2023-06-25 23:00:00,30811.163800267714,ETH,Prophet
2023-06-26 00:00:00,30798.80939639228,ETH,Prophet
2023-06-26 01:00:00,30786.545055819388,ETH,Prophet
2023-06-26 02:00:00,30781.695423125304,ETH,Prophet
2023-06-26 03:00:00,30785.195844716618,ETH,Prophet
2023-06-26 04:00:00,30791.411159285097,ETH,Prophet
2023-06-26 05:00:00,30794.43851052582,ETH,Prophet
2023-06-26 06:00:00,30794.311442948107,ETH,Prophet
2023-06-26 07:00:00,30796.685218214985,ETH,Prophet
2023-06-26 08:00:00,30806.286805927935,ETH,Prophet
2023-06-26 09:00:00,30820.883364008074,ETH,Prophet
2023-06-26 10:00:00,30832.181892679033,ETH,Prophet
2023-06-26 11:00:00,30833.171294022733,ETH,Prophet
2023-06-26 12:00:00,30824.834949549106,ETH,Prophet
2023-06-26 13:00:00,30815.539550470858,ETH,Prophet
2023-06-26 14:00:00,30813.47957056667,ETH,Prophet
2023-06-26 15:00:00,30819.36247579734,ETH,Prophet
2023-06-26 16:00:00,30826.30380100007,ETH,Prophet
2023-06-26 17:00:00,30826.85110955217,ETH,Prophet
2023-06-26 18:00:00,30820.133035443483,ETH,Prophet
2023-06-26 19:00:00,30812.15841619418,ETH,Prophet
2023-06-26 20:00:00,30809.185323640704,ETH,Prophet
2023-06-26 21:00:00,30810.95471961744,ETH,Prophet
2023-06-26 22:00:00,30810.623342489955,ETH,Prophet
2023-06-26 23:00:00,30801.463381122725,ETH,Prophet
2023-06-27 00:00:00,30783.6225323123,ETH,Prophet
2023-06-27 01:00:00,30764.21141851532,ETH,Prophet
2023-06-27 02:00:00,30750.678159959698,ETH,Prophet
2023-06-27 03:00:00,30744.10121219436,ETH,Prophet
2023-06-27 04:00:00,30739.00631523707,ETH,Prophet
2023-06-27 05:00:00,30729.66723750347,ETH,Prophet
2023-06-27 06:00:00,30716.307601404802,ETH,Prophet
2023-06-27 07:00:00,30704.78375677897,ETH,Prophet
2023-06-27 08:00:00,30700.0321868495,ETH,Prophet
2023-06-27 09:00:00,30700.035294564655,ETH,Prophet
2023-06-27 10:00:00,30696.71828738574,ETH,Prophet
2023-06-27 11:00:00,30683.288427473737,ETH,Prophet
2023-06-27 12:00:00,30660.94479533317,ETH,Prophet
2023-06-27 13:00:00,30638.264337162687,ETH,Prophet
2023-06-27 14:00:00,30623.643621096373,ETH,Prophet
2023-06-27 15:00:00,30617.98143093314,ETH,Prophet
2023-06-27 16:00:00,30614.57136084971,ETH,Prophet
2023-06-27 17:00:00,30606.123458529553,ETH,Prophet
2023-06-27 18:00:00,30591.911145591577,ETH,Prophet
2023-06-27 19:00:00,30578.068450762854,ETH,Prophet
2023-06-27 20:00:00,30570.957387066464,ETH,Prophet
2023-06-27 21:00:00,30570.40022117746,ETH,Prophet
2023-06-27 22:00:00,30569.611258706133,ETH,Prophet
2023-06-27 23:00:00,30561.895716208906,ETH,Prophet
2023-06-28 00:00:00,30547.409286375754,ETH,Prophet
2023-06-28 01:00:00,30533.245379813852,ETH,Prophet
2023-06-28 02:00:00,30526.80984006633,ETH,Prophet
2023-06-28 03:00:00,30529.114241492807,ETH,Prophet
2023-06-28 04:00:00,30534.593610739525,ETH,Prophet
2023-06-28 05:00:00,30537.40824559512,ETH,Prophet
2023-06-28 06:00:00,30537.646904982794,ETH,Prophet
